
Dinosaur King
Episode 1: https://play.zephyrflick.top/video/0c0134e3ab253fc5f690b64d9339ba38
Episode 2: https://play.zephyrflick.top/video/f0b875eb6cff6fd5f491e6b6521c7510
Episode 3: https://play.zephyrflick.top/video/67b3d697f52f61a5aae9588726d18edc
Episode 4: https://play.zephyrflick.top/video/5e83596334400305514565ee16b9106d
Episode 5: https://play.zephyrflick.top/video/6349ccd8e98a367ae2eba1acfa755850
Episode 6: https://play.zephyrflick.top/video/54af6860114f54728b5c2fd9b5cfeca9
Episode 7: https://play.zephyrflick.top/video/e2299ee16dcb4ea787ba9f9e8396a26e
Episode 8: https://play.zephyrflick.top/video/c5af1dfde10402285102771ad64b3dac
Episode 9: https://play.zephyrflick.top/video/18175d262a01ebf04bc03e38e48e3ffc
Episode 10: https://play.zephyrflick.top/video/322d830da1130169fb4ca1c7543799d0
Episode 11: https://play.zephyrflick.top/video/dd4143061640d55fb312dd0ce8afa76e
Episode 12: https://play.zephyrflick.top/video/9e0f9113b44003201076a9fade1b72d8
Episode 13: https://play.zephyrflick.top/video/0e143c3bef0f7759c230664c4dc905f8
Episode 14: https://play.zephyrflick.top/video/1be9573be51135cd5be1e191f44e09f8
Episode 15: https://play.zephyrflick.top/video/62ad044325613ca7658d8feded658584
Episode 16: https://play.zephyrflick.top/video/58c1dbad4977b4c106bca8015477757e
Episode 17: https://play.zephyrflick.top/video/93e4d7106625e1b0f2eb8af065c83452
Episode 18: https://play.zephyrflick.top/video/dfc0a2d63b0d7a1ce1cd07ffe3a3aea7
Episode 19: https://play.zephyrflick.top/video/e35284b6966864480f02bc12997b8b49
Episode 20: https://play.zephyrflick.top/video/4f868165832607a918f0a7670496d1ab
Episode 21: https://play.zephyrflick.top/video/b54a39e62236c79ee0536b932f6e76b3
Episode 22: https://play.zephyrflick.top/video/c0ab525d634e80fd8e20e3d6dc00b11c
Episode 23: https://play.zephyrflick.top/video/6baadc89159617043965f9e1889224e7
Episode 24: https://play.zephyrflick.top/video/0f3ea482c9513bf4548f302a46d9932d
Episode 25: https://play.zephyrflick.top/video/301af7614f87909bb1649e27087db4af
Episode 26: https://play.zephyrflick.top/video/bea99816975d4154590d05ce68da8b63
Episode 27: https://play.zephyrflick.top/video/0e790c71de7e8c531b6bfce6c41f3bf6
Episode 28: https://play.zephyrflick.top/video/e0ef383bd743acb4ef8081b4657d1813
Episode 29: https://play.zephyrflick.top/video/e3a7c7b4b90930a37e43118c0eca208b
Episode 30: https://play.zephyrflick.top/video/8a5d3252ac7f91b6710d72d2042a0dbf
Episode 31: https://play.zephyrflick.top/video/607f117bcb3d5559011426ec5d9c42f9
Episode 32: https://play.zephyrflick.top/video/683c46992e4642f7cf7ea1dc7db4f93a
Episode 33: https://play.zephyrflick.top/video/e0c5e4ce2af501bca32abadcf9030c6b
Episode 34: https://play.zephyrflick.top/video/47d3158fe13ecae94d599d4973a374e8
Episode 35: https://play.zephyrflick.top/video/ae56929f9bc01b3f029f11ce9b3eba43
Episode 36: https://play.zephyrflick.top/video/0a4037dd1cee5b46ec30bb860eea84a4
Episode 37: https://play.zephyrflick.top/video/54ac2d9e6b288f513abf0c1e0633d672
Episode 38: https://play.zephyrflick.top/video/0df0dbfc4725c2259dc0bb045e9bf6d2
Episode 39: https://play.zephyrflick.top/video/28db3b5e7bfadf38b792da7192530ac1
Episode 40: https://play.zephyrflick.top/video/819e2e55be8ef0957b56ea94356bfb79
Episode 41: https://play.zephyrflick.top/video/144b646e159cb47f13a4ebb4c8d00628
Episode 42: https://play.zephyrflick.top/video/1fd37ce80d495bebcb35e0054d7384fe
Episode 43: https://play.zephyrflick.top/video/13f3d8f0b1d534d2ce312263653c5594
Episode 44: https://play.zephyrflick.top/video/eb844cbe61ad95e6462ee45f7c3d87ae
Episode 45: https://play.zephyrflick.top/video/5f353180421dc744d4e204a6c0f330cd
Episode 46: https://play.zephyrflick.top/video/8239a17531bc8edea4ad8a2ddfdbbe17
Episode 47: https://play.zephyrflick.top/video/f7eabb16f5527507fc1236f156c5b816
Episode 48: https://play.zephyrflick.top/video/8eb0a23b70975a5e167147f4b0a881b6
Episode 49: https://play.zephyrflick.top/video/e5c69c0e3063671d1cd77ef51c041b83

Season 2
Episode 1: https://play.zephyrflick.top/video/5847ac0c8efb8552d1b7c42a4c3f2418
Episode 2: https://play.zephyrflick.top/video/676bc6cef834fe54277b1954f6cd4c5c
Episode 3: https://play.zephyrflick.top/video/f31bad5d6425dd6d172c786a1bffe4a7
Episode 4: https://play.zephyrflick.top/video/628f7dc50810e974c046a6b5e89246fc
Episode 5: https://play.zephyrflick.top/video/02c6a2a8cc47b260c0c3c649db4a2d9c
Episode 6: https://play.zephyrflick.top/video/c71c14199fd7d86b0be2a0d4ee4c738f
Episode 7: https://play.zephyrflick.top/video/5f7c755fd883d5c3c343d9b06ca9db05
Episode 8: https://play.zephyrflick.top/video/b8262a23052612c56595a230615f2250
Episode 9: https://play.zephyrflick.top/video/b49732e7c77fbc9badd37b4f49960698
Episode 10: https://play.zephyrflick.top/video/99e5a6ae292728f981127b71861de113
Episode 11: https://play.zephyrflick.top/video/757334847f188c6304b84ec6b018a965
Episode 12: https://play.zephyrflick.top/video/09d0326952871a6f35d61a82415468d7
Episode 13: https://play.zephyrflick.top/video/46d361782608fdbb1b4f3bd6cf5e31f3
Episode 14: https://play.zephyrflick.top/video/6340831392e9cd8af9598274f4b3c5c0
Episode 15: https://play.zephyrflick.top/video/ae7d9dc853482ef5146fb11f73f93b0b
Episode 16: https://play.zephyrflick.top/video/25989f1da5598dd89e7134affeca8697
Episode 17: https://play.zephyrflick.top/video/0806a60e2e5466094ab2652bef28a251
Episode 18: https://play.zephyrflick.top/video/4662efebaa2ef1b42bb1097a941393ef
Episode 19: https://play.zephyrflick.top/video/f74d6ef882234fd34400a296b1da6149
Episode 20: https://play.zephyrflick.top/video/d0ec7deb55fed8949efb61cf1fa39004
Episode 21: https://play.zephyrflick.top/video/d604dd857d8434bd10c0f2fb2c8eef03
Episode 22: https://play.zephyrflick.top/video/bc08ce9dbf5048faa8296452c57c64b6
Episode 23: https://play.zephyrflick.top/video/f71b273d03661de9d8ded6ff7ade4b7a
Episode 24: https://play.zephyrflick.top/video/744124ddc0b2f3e512a0b7a7ee60b645
Episode 25: https://play.zephyrflick.top/video/9f44fdee15143bbb809e516cecc658e9
Episode 26: https://play.zephyrflick.top/video/244e6b76cb404f1e057b6417e1c7eab5
Episode 27: https://play.zephyrflick.top/video/ef1f3fc8be928fd5b5e721689bb92b7b
Episode 28: https://play.zephyrflick.top/video/38398fab1dd3cccf0f624d935a57898d
Episode 29: https://play.zephyrflick.top/video/8e28c44c7e1bb849ce85affc38d326bb
Episode 30: https://play.zephyrflick.top/video/db8229562f80fbcc7d780f571e5974ec
